PWM;VTotal;VDiodo;CDiodo
0;0,05;0,05;0
5;0,03;0,08;0
10;0,05;0,05;0
15;0,08;0,08;0
20;0,1;0,11;0
25;0,18;0,16;0
30;0,18;0,18;0
35;0,22;0,22;0
40;0,24;0,27;0
45;0,31;0,29;0
50;0,34;0,32;0
55;0,38;0,34;0
60;0,49;0,38;0
65;0,48;0,37;0
70;0,53;0,38;0
75;0,65;0,41;0
80;0,67;0,4;0
85;0,71;0,4;0
90;0,82;0,42;0
95;0,95;0,43;0
100;0,95;0,42;0
105;1,02;0,43;0
110;1,22;0,44;0
115;1,24;0,43;0
120;1,33;0,44;0
125;1,58;0,46;0
130;1,63;0,45;0
135;1,75;0,45;0
140;2,06;0,47;0,01
145;2,17;0,46;0,01
150;2,32;0,47;0,01
155;2,68;0,48;0,01
160;2,83;0,47;0,01
165;2,97;0,48;0,01
170;3,3;0,49;0,01
175;3,49;0,49;0,01
180;3,51;0,49;0,01
185;3,76;0,49;0,01
190;3,9;0,51;0,01
195;3,89;0,49;0,01
200;4,09;0,5;0,01
205;4,19;0,5;0,01
210;4,17;0,5;0,01
215;4,33;0,5;0,01
220;4,4;0,5;0,01
225;4,43;0,5;0,01
230;4,5;0,5;0,01
235;4,56;0,5;0,01
240;4,59;0,5;0,01
245;4,65;0,5;0,01
250;4,71;0,5;0,01
255;4,75;0,5;0,01
0;2,2;0,46;0,01
5;0,68;0,4;0
10;0,21;0,21;0
15;0,12;0,12;0
20;0,12;0,15;0
25;0,15;0,15;0
30;0,18;0,18;0
35;0,22;0,22;0
40;0,33;0,27;0
45;0,3;0,29;0
50;0,34;0,32;0
55;0,43;0,37;0
60;0,44;0,36;0
65;0,48;0,37;0
70;0,51;0,39;0
75;0,7;0,4;0
80;0,65;0,4;0
85;0,71;0,4;0
90;0,86;0,43;0
95;0,87;0,42;0
100;0,94;0,42;0
105;1,11;0,44;0
110;1,17;0,43;0
115;1,23;0,43;0
120;1,43;0,45;0
125;1,6;0,45;0
130;1,62;0,44;0
135;1,87;0,46;0
140;2,08;0,49;0,01
145;2,14;0,46;0,01
150;2,45;0,48;0,01
155;2,69;0,48;0,01
160;2,78;0,47;0,01
165;3,08;0,49;0,01
170;3,3;0,49;0,01
175;3,36;0,48;0,01
180;3,61;0,49;0,01
185;3,77;0,5;0,01
190;3,8;0,49;0,01
195;3,99;0,5;0,01
200;4,1;0,5;0,01
205;4,12;0,49;0,01
210;4,25;0,5;0,01
215;4,32;0,5;0,01
220;4,39;0,5;0,01
225;4,44;0,5;0,01
230;4,5;0,5;0,01
235;4,57;0,51;0,01
240;4,61;0,5;0,01
245;4,66;0,5;0,01
250;4,71;0,5;0,01
255;4,75;0,5;0,01
0;2,2;0,46;0,01
5;0,67;0,4;0
10;0,2;0,2;0
15;0,12;0,12;0
20;0,13;0,13;0
25;0,15;0,15;0
30;0,18;0,18;0
35;0,23;0,26;0
40;0,26;0,26;0
45;0,3;0,29;0
