PWM;VTotal;VDiodo;CDiodo
0;0.06;0.06;0.02
5;0.03;0.04;-0.03
10;0.05;0.05;0.00
15;0.08;0.07;0.02
20;0.10;0.10;0.02
25;0.15;0.13;0.06
30;0.18;0.15;0.09
35;0.20;0.16;0.12
40;0.64;0.28;1.12
45;0.29;0.19;0.31
50;0.28;0.19;0.29
55;4.76;0.34;14.01
60;0.00;0.00;0.00
65;0.35;0.21;0.47
70;0.54;0.24;0.95
75;1.08;0.24;2.65
80;0.00;0.00;0.00
85;0.00;0.00;0.00
90;4.76;0.34;14.01
95;0.00;0.00;0.00
100;0.00;0.00;0.00
105;0.00;0.00;0.00
110;4.75;0.34;14.00
115;0.00;0.00;0.00
120;0.00;0.00;0.00
125;4.75;0.34;14.00
130;4.75;0.00;15.08
135;0.00;0.00;0.00
140;4.76;0.34;14.01
145;4.75;0.34;14.00
150;0.00;0.00;0.00
155;4.76;0.34;14.01
160;4.75;0.34;14.00
165;0.00;0.00;0.00
170;4.76;0.34;14.01
175;4.75;0.34;14.00
180;0.00;0.00;0.00
185;4.75;0.34;14.00
190;4.76;0.34;14.01
195;0.00;0.00;0.00
200;4.75;0.34;14.00
205;4.75;0.34;14.00
210;0.00;0.00;0.00
215;4.76;0.34;14.01
220;4.75;0.34;14.00
225;4.75;0.00;15.08
230;4.75;0.34;14.00
235;4.75;0.34;14.00
240;0.00;0.34;-1.09
245;4.75;0.34;14.00
250;4.75;0.34;14.00
255;4.75;0.34;14.00
0;0.00;0.00;0.00
5;0.00;0.00;0.00
10;0.00;0.00;0.00
15;0.00;0.00;0.00
20;0.00;0.00;0.00
25;4.76;0.00;15.10
30;0.00;0.00;0.00
35;0.00;0.00;0.00
40;0.00;0.00;0.00
45;4.76;0.35;14.00
50;0.00;0.00;0.00
55;0.00;0.00;0.00
60;0.00;0.00;0.00
65;4.75;0.34;14.00
70;0.00;0.00;0.00
75;0.00;0.00;0.00
80;0.00;0.34;-1.07
85;4.75;0.35;13.98
90;0.00;0.00;0.00
95;0.00;0.00;0.00
100;4.76;0.34;14.01
105;0.00;0.00;0.00
110;0.00;0.00;0.00
115;0.00;0.34;-1.09
120;4.76;0.34;14.01
125;0.00;0.00;0.00
130;0.00;0.34;-1.07
135;4.75;0.34;14.00
140;0.00;0.00;0.00
145;0.00;0.00;0.00
150;4.75;0.34;14.00
155;4.76;0.00;15.10
160;0.00;0.00;0.00
165;4.75;0.34;14.00
170;4.75;0.34;14.00
175;0.00;0.00;0.00
180;4.75;0.34;14.00
185;4.75;0.34;14.00
190;0.00;0.00;0.00
195;4.75;0.34;14.00
200;4.75;0.34;14.00
205;0.00;0.00;0.00
210;4.76;0.34;14.01
215;4.75;0.34;14.00
220;0.00;0.00;0.00
225;4.75;0.34;14.01
230;4.75;0.34;14.00
235;0.00;0.00;0.00
240;4.75;0.34;14.00
245;4.75;0.34;14.00
250;4.75;0.34;14.01
255;4.75;0.34;14.00
0;0.00;0.00;0.00
5;0.00;0.00;0.00
10;0.00;0.00;0.00
15;0.00;0.00;0.00
20;0.00;0.00;0.00
25;0.00;0.00;0.00
30;0.00;0.00;0.00
35;0.00;0.00;0.00
40;4.75;0.34;14.00
45;0.00;0.00;0.00
50;0.00;0.00;0.00
55;0.00;0.00;0.00
60;4.75;0.34;14.01
65;0.00;0.00;0.00
70;0.00;0.00;0.00
75;0.00;0.00;0.00
80;4.75;0.34;14.01
85;0.00;0.00;0.00
90;0.00;0.00;0.00
95;0.00;0.34;-1.07
100;4.75;0.34;14.00
105;0.00;0.00;0.00
110;0.00;0.00;0.00
115;4.75;0.34;14.00
120;0.00;0.00;0.00
125;0.00;0.00;0.00
130;4.76;0.34;14.03
135;4.75;0.00;15.08
140;0.00;0.00;0.00
145;4.75;0.34;14.01
150;4.75;0.34;14.01
155;0.00;0.00;0.00
160;4.76;0.34;14.01
