PWM;VTotal;VDiodo;CDiodo
0;0.00;0.00;0.00
5;0.02;0.01;0.03
10;0.05;0.04;0.03
15;0.08;0.06;0.06
20;0.10;0.07;0.09
25;0.19;0.10;0.29
30;0.18;0.10;0.23
35;0.21;0.11;0.31
40;0.25;0.13;0.40
45;0.29;0.13;0.51
50;0.33;0.14;0.61
55;0.32;0.15;0.56
60;0.43;0.15;0.90
65;0.47;0.16;0.99
70;0.51;0.16;1.12
75;0.65;0.18;1.51
80;0.64;0.17;1.49
85;0.69;0.14;1.75
90;0.81;0.19;1.97
95;0.85;0.19;2.11
100;0.91;0.19;2.30
105;1.06;0.20;2.72
110;1.11;0.20;2.92
115;1.19;0.17;3.26
120;1.38;0.22;3.69
125;1.46;0.21;3.97
130;1.57;0.22;4.30
135;1.81;0.23;5.01
140;1.93;0.22;5.40
145;2.12;0.23;5.97
150;2.38;0.24;6.80
155;2.53;0.23;7.28
160;2.79;0.25;8.05
165;3.03;0.25;8.81
170;3.17;0.25;9.26
175;3.40;0.26;9.98
180;3.59;0.26;10.55
185;3.66;0.26;10.78
190;3.84;0.26;11.36
195;3.97;0.26;11.76
200;3.98;0.26;11.82
205;4.14;0.27;12.30
210;4.23;0.27;12.58
215;4.29;0.27;12.77
220;4.37;0.27;13.02
225;4.44;0.27;13.24
230;4.48;0.27;13.37
235;4.54;0.27;13.56
240;4.56;0.27;13.62
245;4.64;0.27;13.86
250;4.69;0.27;14.03
255;4.73;0.27;14.14
0;2.11;0.22;5.99
5;0.59;0.16;1.37
10;0.17;0.10;0.23
15;0.11;0.07;0.11
20;0.13;0.08;0.16
25;0.15;0.09;0.19
30;0.18;0.10;0.25
35;0.23;0.12;0.36
40;0.25;0.12;0.43
45;0.29;0.12;0.53
50;0.35;0.14;0.65
55;0.38;0.14;0.78
60;0.42;0.14;0.88
65;0.47;0.16;0.99
70;0.54;0.16;1.23
75;0.58;0.16;1.32
80;0.63;0.17;1.46
85;0.76;0.18;1.83
90;0.77;0.18;1.89
95;0.83;0.17;2.11
100;0.97;0.19;2.48
105;1.02;0.19;2.64
110;1.09;0.19;2.87
115;1.27;0.21;3.38
120;1.33;0.20;3.58
125;1.41;0.21;3.82
130;1.66;0.22;4.58
135;1.75;0.21;4.89
140;1.95;0.22;5.48
145;2.18;0.23;6.19
150;2.30;0.22;6.59
155;2.58;0.24;7.42
160;2.82;0.24;8.18
165;2.95;0.24;8.60
170;3.22;0.25;9.42
175;3.42;0.25;10.07
180;3.50;0.25;10.32
185;3.72;0.25;11.00
190;3.86;0.26;11.42
195;3.89;0.25;11.54
200;4.06;0.26;12.07
205;4.15;0.26;12.35
210;4.22;0.26;12.57
215;4.30;0.26;12.80
220;4.36;0.26;13.02
225;4.42;0.26;13.20
230;4.49;0.26;13.41
235;4.50;0.26;13.45
240;4.59;0.26;13.73
245;4.64;0.26;13.90
250;4.69;0.26;14.04
255;4.73;0.26;14.18
0;2.11;0.22;6.00
5;0.57;0.16;1.32
10;0.17;0.08;0.28
15;0.11;0.07;0.14
20;0.12;0.07;0.14
25;0.14;0.08;0.19
30;0.19;0.10;0.29
35;0.22;0.10;0.36
40;0.25;0.11;0.43
45;0.31;0.14;0.54
50;0.34;0.13;0.67
55;0.37;0.13;0.76
60;0.44;0.15;0.93
65;0.48;0.15;1.06
70;0.52;0.15;1.16
75;0.59;0.16;1.35
80;0.66;0.16;1.60
85;0.70;0.17;1.71
90;0.72;0.17;1.75
95;0.89;0.20;2.22
100;0.93;0.18;2.39
105;0.99;0.18;2.56
110;1.16;0.20;3.07
115;1.21;0.19;3.24
120;1.28;0.20;3.44
125;1.52;0.21;4.16
130;1.59;0.20;4.42
135;1.78;0.22;4.97
140;1.99;0.22;5.62
145;2.10;0.22;5.99
150;2.36;0.23;6.75
155;2.60;0.23;7.51
160;2.73;0.23;7.94
165;3.01;0.24;8.80
170;3.24;0.24;9.50
175;3.34;0.24;9.84
180;3.57;0.25;10.54
185;3.73;0.25;11.03
190;3.77;0.22;11.26
195;3.96;0.25;11.76
200;4.07;0.25;12.10
205;4.13;0.25;12.29
210;4.22;0.26;12.58
215;4.31;0.26;12.85
220;4.36;0.26;13.02
225;4.43;0.26;13.24
230;4.46;0.24;13.37
235;4.54;0.26;13.59
240;4.59;0.26;13.76
245;4.63;0.26;13.89
250;4.69;0.26;14.06
255;4.73;0.26;14.18
0;2.11;0.22;6.02
5;0.55;0.19;1.15
10;0.17;0.08;0.26
15;0.11;0.06;0.14
20;0.12;0.07;0.16
25;0.16;0.08;0.23
30;0.18;0.09;0.29
35;0.21;0.10;0.36
40;0.29;0.12;0.54
45;0.29;0.12;0.56
50;0.33;0.12;0.65
55;0.40;0.14;0.82
60;0.43;0.13;0.95
65;0.47;0.14;1.06
70;0.53;0.15;1.21
75;0.60;0.15;1.41
80;0.64;0.16;1.52
85;0.65;0.16;1.55
90;0.83;0.17;2.08
95;0.85;0.17;2.16
100;0.90;0.17;2.34
105;1.07;0.19;2.78
110;1.11;0.18;2.95
115;1.16;0.19;3.09
120;1.39;0.20;3.79
125;1.45;0.20;3.99
130;1.62;0.21;4.48
135;1.82;0.21;5.10
140;1.92;0.21;5.43
145;2.15;0.22;6.13
150;2.39;0.22;6.86
155;2.51;0.22;7.28
160;2.80;0.23;8.13
165;3.04;0.23;8.89
170;3.15;0.23;9.25
175;3.40;0.24;10.04
180;3.58;0.24;10.60
185;3.64;0.22;10.85
190;3.84;0.25;11.40
195;3.97;0.25;11.81
200;4.03;0.25;12.01
205;4.14;0.25;12.37
210;4.23;0.25;12.63
215;4.29;0.25;12.82
