PWM;VTotal;VDiodo;CDiodo
0;0,23;0,23;0
5;0,07;0,13;-0,2
10;0,06;0,06;0
15;0,08;0,08;0
20;0,11;0,11;0
25;0,22;0,15;0,22
30;0,18;0,18;0
35;0,22;0,22;0
40;0,22;0,3;-0,26
45;0,31;0,3;0,02
50;0,34;0,34;0
55;0,38;0,35;0,09
60;0,54;0,45;0,26
65;0,49;0,49;0
70;0,54;0,54;0
75;0,67;0,68;-0,03
80;0,68;0,68;0,02
85;0,74;0,74;0,02
90;0,88;0,88;-0,02
95;0,94;0,91;0,11
100;0,99;0,94;0,17
105;1,15;0,98;0,54
110;1,29;0,97;1,01
115;1,3;0,96;1,07
120;1,5;0,99;1,6
125;1,67;0,99;2,16
130;1,71;0,97;2,33
135;1,96;1;3,06
140;2,17;1,03;3,65
145;2,25;0,98;4,02
150;2,56;1,01;4,93
155;2,8;1,03;5,63
160;2,88;0,99;6,02
165;3,2;1,01;6,94
170;3,4;1,01;7,59
175;3,45;0,98;7,82
180;3,7;1,01;8,53
185;3,85;1,01;9
190;3,85;1;9,05
195;4,05;1,01;9,64
200;4,15;1,01;9,96
205;4,14;1,01;9,95
210;4,3;1,01;10,43
215;4,37;1,01;10,68
220;4,42;1,01;10,83
225;4,49;1,01;11,05
230;4,55;1,01;11,22
235;4,59;1,01;11,37
240;4,64;1,01;11,54
245;4,69;1,01;11,68
250;4,73;1,01;11,82
255;4,78;1,01;11,96
0;2,26;0,98;4,07
5;0,67;0,67;0
10;0,21;0,21;0
15;0,12;0,12;0
20;0,12;0,12;0
25;0,1;0,22;-0,37
30;0,19;0,19;0
35;0,22;0,22;0
40;0,25;0,25;0
45;0,4;0,31;0,26
50;0,35;0,35;0
55;0,39;0,39;0
60;0,49;0,5;-0,03
65;0,5;0,5;0,02
70;0,55;0,55;0
75;0,64;0,66;-0,08
80;0,71;0,69;0,08
85;0,75;0,74;0,02
90;0,81;0,87;-0,19
95;0,99;0,97;0,05
100;1;0,94;0,2
105;1,08;0,96;0,37
110;1,28;0,99;0,93
115;1,31;0,96;1,1
120;1,41;0,98;1,35
125;1,66;1;2,11
130;1,72;0,98;2,36
135;1,94;1;2,98
140;2,17;1,01;3,69
145;2,26;0,98;4,05
150;2,55;1,01;4,89
155;2,79;1,01;5,66
160;2,89;0,99;6,05
165;3,19;1,01;6,9
170;3,39;1,01;7,56
175;3,47;0,99;7,85
180;3,7;1,01;8,52
185;3,84;1,01;8,98
190;3,87;1;9,11
195;4,04;1,01;9,62
200;4,14;1,01;9,95
205;4,14;1;9,98
210;4,29;1,01;10,43
215;4,36;1,01;10,66
220;4,35;1,01;10,63
225;4,49;1,01;11,05
230;4,55;1,01;11,23
235;4,59;1,01;11,37
240;4,64;1,01;11,54
245;4,69;1,01;11,68
250;4,73;1,01;11,81
255;4,77;1,01;11,95
0;2,26;0,98;4,07
5;0,68;0,67;0,02
10;0,22;0,21;0,03
15;0,12;0,12;0
20;0,12;0,12;0
25;0,15;0,18;-0,09
30;0,19;0,19;0
35;0,22;0,22;0
40;0,25;0,25;0
45;0,36;0,32;0,12
50;0,35;0,35;0
55;0,39;0,39;0
60;0,48;0,49;-0,05
65;0,51;0,5;0,02
70;0,55;0,55;0
75;0,6;0,65;-0,17
